   name1,name2,street1,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility
Organization for Recovery Inc,,519 North Avenue,Plainfield,NJ,7060,,Union,908-769-4700 x2010,Intakes,908-769-4700 x21,908-769-4700 x11,http://www.organizationforrecovery.org,40.623521,-74.413866,SA
Addiction Specialists LLC,John F Natale LCADC,280 Norwood Avenue,West Long Branch,NJ,7764,,Monmouth,732-778-0611,,,732-222-1124,http://www.addictionspecialists.vpweb.com/,40.28992329,-74.00184166,SA
New Life Counseling,,25 East Front Street,Keyport,NJ,7735,,Monmouth,732-264-3824,,800-570-2626,,http://www.endeavorhouse.com,40.438211,-74.201424,SA
Daniel Struble LCSW LCADC,,32 Village Court,Hazlet,NJ,7730,,Monmouth,732-335-1675,,,,http://www.strublecounseling.com,40.4156876,-74.1756257,SA
CenterPath Wellness,Addiction Services,117-119 Roosevelt Avenue,Plainfield,NJ,7060,,Union,908-756-6870 x636,,908-756-6870,,http://www.mycenterpath.org,40.6213864,-74.4198213,SA
Unity Place of Monmouth Cnty LLC,,1075 Stephenson Avenue,Oceanport,NJ,7757,,Monmouth,848-208-2636,Intakes,848-208-2636 x309,848-208-2636 x310,http://,40.3098988,-74.0387555,SA
JFK Center for Behavioral Health,,65 James Street,Edison,NJ,8820,,Middlesex,732-321-7189,,,,http://www.JFKHealth.org,40.5566276,-74.350227,SA
Winterport Community Health Ctr,,775 North Main Street,Winterport,ME,4496,,Waldo,207-223-0965,,,,http://www.pchc.com/,44.6437092,-68.8402838,SA
Meridian Behavioral Health,,661 Shrewsbury Avenue,Shrewsbury,NJ,7702,,Monmouth,732-345-3400,,,,http://www.meridianhealth.com,40.325674,-74.071782,SA
South Amboy Comprehensive Trt Ctr,,1 Main Street,South Amboy,NJ,8879,,Middlesex,732-727-2555,,,,http://www.southamboyctc.com,40.4936435,-74.2920435,SA
Sunrise Detox II,,1272 Long Hill Road,Stirling,NJ,7980,,Morris,908-504-2700,,888-443-3869,,http://www.sunrisedetox.com,40.680359,-74.496916,SA
Sunrise Detox,,1272 Long Hill Road,Stirling,NJ,7980,,Morris,908-504-2700,,888-344-7159,,http://sunrisedetox.com,40.6807523,-74.497483,SA
Capitol Care,,7 Waterloo Road,Stanhope,NJ,7874,,Sussex,844-437-3482,Intakes,844-437-3482 x2392,844-437-3482 x2412,http://www.capitol-care.org,40.9244378,-74.719872,SA
First Step Counseling,,15 Calvin Place,Metuchen,NJ,8840,,Middlesex,732-549-0401,,,,http://,40.539801,-74.361912,SA
Acadia Family Center,,1 Fernald Point Road,Southwest Harbor,ME,4679,,Hancock,207-244-4012,,,,http://www.acadiafamilycenter.org,44.29274199,-68.32875483,SA
Utica Supportive Living,,1001 Park Avenue,Utica,NY,13501,,Oneida,315-738-6002,,,,http://www.pyhit.com,43.097599,-75.233155,SA
JCTOD Outreach Inc,DBA Johnson Park Center  SL,19 Johnson Park,Utica,NY,13501,,Oneida,315-734-9608,,,,http://www.johnsonparkcenter.org,43.091051,-75.236954,SA
Insight House OP,,500 Whitesboro Street,Utica,NY,13502,3015,Oneida,315-724-5168 x266,,315-724-5168 x289,,http://www.insighthouse.com,43.1060515,-75.235997,SA
Insight House Chem Dep Servs Inc,Drug Abuse Intensive Residential Prg,500 Whitesboro Street,Utica,NY,13502,,Oneida,315-724-5168 x266,,315-724-5168 x289,,http://www.insighthouse.com,43.1061056,-75.236147,SA
Central New York Services Inc,Milestones Dual Recovery Program,502 Court Street,Utica,NY,13502,,Oneida,315-507-5800,,,,http://www.cnyservices.org,43.101844,-75.239562,SA
Daytop Village of New Jersey Inc,,80 West Main Street,Mendham,NJ,7945,,Morris,973-543-5656 x715,Intakes,973-543-5656 x748,973-543-5656 x799,http://www.daytopnj.org,40.7706467,-74.615639,SA
Community YMCA,,166 Main Street,Matawan,NJ,7747,,Monmouth,732-290-9040,,732-290-9040 x0,,http://www.cymca.org,40.4130154,-74.2312444,SA
Recovery Innovations Inc,,1 Corbett Way,Eatontown,NJ,7724,4247,Monmouth,732-380-7061,,,,http://www.recoveryinnovations.com,40.2754431,-74.0485219,SA
Advanced Health and Education,,3 Corbett Way,Eatontown,NJ,7724,,Monmouth,888-687-6977,,,,http://www.advhealth.com,40.275147,-74.048821,SA
Beacon Center,Buffalo Beacon Corporation OP 4,1508 Genesee Street,Utica,NY,13502,5178,Oneida,315-366-4100,,,,http://www.beaconcenter.net,43.093061,-75.2489669,SA
Delta Recovery SL,,1639 Holland Avenue,Utica,NY,13501,4713,Oneida,315-941-4840,,315-368-4980,,http://,43.088505,-75.252443,SA
Catholic Charities of Utica/Rome,Womens Halfway House,1616 Genesee Street,Utica,NY,13502,,Oneida,315-792-1007,,,,http://,43.09070042,-75.25299571,SA
Township of Ocean Human Services,,601 Deal Road,Asbury Park,NJ,7712,,Monmouth,732-531-2600,,,,http://www.oceantwp.org,40.254802,-74.032928,SA
Diamond Counseling Center,,1 Ethel Road,Edison,NJ,8817,,Middlesex,732-248-1805 x103,,732-248-1805 x101,,http://,40.5394741,-74.3959008,SA
McPike Addiction Treatment Center,CD Inpatient Rehab Program,1213 Court Street,Utica,NY,13502,,Oneida,315-738-4600,,315-738-4465,,http://www.oasas.state.ny.us/atc/mcpike-home.htm,43.106788,-75.252686,SA
Catholic Charities/Diocese of Syracuse,Mens Rutger House,1505 Whitesboro Street,Utica,NY,13502,,Oneida,315-738-8483,,,,http://,43.107492,-75.254489,SA
Epiphany House,,300 4th Avenue,Asbury Park,NJ,7712,,Monmouth,732-775-0720,,732-946-3030 x3,,http://newhopeibhc.org/,40.222872,-74.0034562,SA
Epiphany House,,1110 Grand Avenue,Asbury Park,NJ,7712,,Monmouth,732-775-0720,,732-946-3030 x3,,http://www.epiphanyhouse.org,40.223279,-74.005711,SA
Health Affiliates Maine,Cynthia Booker Bingler LCSW,259 Toddy Pond Road,Surry,ME,4684,,Hancock,207-412-8881,,,,http://www.therapeutic-way.com,44.497708,-68.529566,SA
Veronica Mullin LCADC LCSW,,141 Highway 34,Matawan,NJ,7747,2648,Monmouth,800-810-2070,,848-468-0254,,http://,40.425583,-74.289429,SA
Extracare Counseling Centers LLC,,141 Route 34,Matawan,NJ,7747,,Monmouth,732-721-3835,,800-810-2070,,http://www.extracarehealth.com,40.4255826,-74.2894288,SA
Jewish Family and Children Servs of,Greater Monmouth County,705 Summerfield Avenue,Asbury Park,NJ,7712,,Monmouth,732-774-6886 x16,,732-774-6886,,http://www.jfcsmonmouth.org,40.2182398,-74.0116047,SA
Stress Care of New Jersey,,4122 Route 516,Matawan,NJ,7747,,Monmouth,732-679-4500,,,,http://www.stresscareclinic.com/,40.4066504,-74.2775628,SA
Project Free/Catholic Charities,,238 Neptune Boulevard,Neptune,NJ,7753,,Monmouth,732-897-7701 x2902,,732-897-7701 x100,,http://www.cctrenton.org,40.2149822,-74.0351789,SA
Gateway Day Treatment Program,,1 Centre Street,Asbury Park,NJ,7712,,Monmouth,732-922-0591,,732-922-0591 x117,,http://,40.231779,-74.059818,SA
JSAS Healthcare,,685 Neptune Boulevard,Neptune,NJ,7753,,Monmouth,732-988-8877,,,,http://www.jsashc.org,40.219808,-74.042995,SA
Bonnie Brae,,3415 Valley Road,Liberty Corner,NJ,7938,,Somerset,908-647-0800,,,,http://,40.66598326,-74.58915596,SA
Mattie House,,86 Conover Road,Marlboro,NJ,7746,,Monmouth,732-817-0616 x3010,,732-817-0616,,http://newhopeibhc.org/,40.3470299,-74.229981,SA
Discovery Institute for,Addictive Disorders/Detox,80 Conover Road,Marlboro,NJ,7746,,Monmouth,732-946-9444 x144,Intakes,800-714-2175,732-946-9444,http://discoverynj.org,40.345187,-74.227845,SA
Discovery Institute for,Add Disorders/Long/Short Term Res,80 Conover Road,Marlboro,NJ,7746,,Monmouth,732-946-9444 x144,Intakes,800-714-2175,732-946-9444,http://www.discoverynj.org,40.3451913,-74.227883,SA
New Hope Foundation Inc,Substance Abuse Services,80 Conover Road,Marlboro,NJ,7746,,Monmouth,732-946-3030 x2014,Intakes,732-946-3030 x3,732-946-3030 x2251,http://newhopeibhc.org/,40.3451913,-74.227883,SA
Discovery Institute for,Add Disorders/Outpatient Program,80 Conover Road,Marlboro,NJ,7746,,Monmouth,732-946-9444 x144,Intakes,732-946-9444 x131,732-946-9444 x115,http://www.discoverynj.org,40.3451913,-74.227883,SA
Center for Network Therapy,,333 Cedar Avenue,Middlesex,NJ,8846,,Middlesex,732-560-1080,,,,http://www.RecoveryCNT.com,40.5649769,-74.499038,SA
Jersey Shore Medical Center,Addiction Recovery Services,1200 Jumping Brook Road,Neptune,NJ,7753,,Monmouth,732-643-4400,,,,http://www.meridianhealth.com,40.226766,-74.082922,SA
Victor H Lopez LSW MSW LCADC,,103 Bayard Street,New Brunswick,NJ,8903,,Middlesex,732-878-1365,,,732-925-2068,http://,40.5102,-74.447,SA
Rutgers/UBHC,Specialized Addiction Treatment Servs,303 George Street,New Brunswick,NJ,8901,,Middlesex,732-235-3440,,800-969-5300,,http://ubhc.rutgers.edu/services/adult/specialized_addiction.html,40.4926028,-74.4427071,SA
Center for Great Expectations,,303 George Street,New Brunswick,NJ,8901,2009,Middlesex,732-993-6403,,,,http://www.cge-nj.org/,40.4925272,-74.4428078,SA
Aroostook Mental Health Center,,710 Bucksport Road,Ellsworth,ME,4605,,Hancock,207-667-6890,,800-244-6431,,http://www.amhc.org,44.539407,-68.496512,SA
Laszlo Center 4 Hope and Healing,,367 Old Bridge Turnpike,East Brunswick,NJ,8816,2349,Middlesex,732-794-3629,,,,http://www.laszlo4therapy.com,40.449225,-74.39515,SA
New Hope IBHC,Open Door,2-4 Kirkpatrick Street,New Brunswick,NJ,8901,,Middlesex,732-246-4800,,,,http://newhopeibhc.org/,40.4928381,-74.4462949,SA
College Recovery LLC,SOBA,104 Bayard Street,New Brunswick,NJ,8901,,Middlesex,732-847-2869,Intakes,732-847-2870,800-538-1205,http://sobanewjersey.com/,40.4936111,-74.4476358,SA
New Brunswick Counseling Center,,320 Suydam Street,New Brunswick,NJ,8901,,Middlesex,732-246-4025,,,,http://www.newbrunswickcounselingcenter.org,40.49166317,-74.4519921,SA
Family Guidance Ctr of Warren Cnty,,108 Bilby Road,Hackettstown,NJ,7840,4174,Warren,908-852-0333,,908-689-1000,,http://www.fgcwc.org,40.8664139,-74.8154828,SA
Damon House Inc,,105 Joyce Kilmer Avenue,New Brunswick,NJ,8901,,Middlesex,732-828-6002,,732-828-3988,,http://www.damonhouse.org,40.48929651,-74.45129542,SA
Wall Youth Center and,Community Services,1824 South M Street,Belmar,NJ,7719,,Monmouth,732-681-1375,,,,http://www.wallnj.com/316/Youth-Center,40.16844838,-74.04202366,SA
PA Treatment and Healing,,1855 Fair Avenue,Honesdale,PA,18431,,Wayne,570-253-3980,Intakes,570-251-0255,570-251-0257,http://www.pathtochange.org,41.59052,-75.2623179,SA
Family and Community Services of,Somerset County,339 West 2nd Street,Bound Brook,NJ,8805,,Somerset,732-356-1082,,732-356-1082 x13,,http://www.fcssomerset.org,40.56307963,-74.54232136,SA
Center for Great Expectations,,19 Dellwood Lane,Somerset,NJ,8873,,Somerset,732-247-7003,,,,http://www.cge-nj.org,40.517866,-74.499868,SA
Discovery House of,Bangor Comprehensive Trt Ctr,74 Dowd Road,Bangor,ME,4401,,Penobscot,207-518-7818,,,,http://www.discoveryhouse.com,44.7830551,-68.8252393,SA
Little Hill,Alina Lodge,61 Ward Road,Blairstown,NJ,7825,,Warren,908-362-6114,,,800-575-6343,http://www.alinalodge.org,40.981398,-74.930726,SA
Hackettstown Medical Center,The Counseling and Addiction Center,112 East Avenue,Hackettstown,NJ,7840,,Warren,908-441-1558,,,908-441-1559,http://www.atlantichealth.org/hackettstown,40.8413308,-74.8214615,SA
Breath of Life Counseling Servs LLC,,107 Cedar Grove Lane,Somerset,NJ,8873,,Somerset,732-690-4616,,,,http://www.breathoflifecounseling.com,40.5241577,-74.5200833,SA
Haley House,,62 Ward Road,Blairstown,NJ,7825,,Warren,908-362-5417,,,,http://www.haleyhousewomen.org,40.982058,-74.935551,SA
Catholic Charities/Diocese of,Metuchen/Outpatient,288 Rues Lane,East Brunswick,NJ,8816,,Middlesex,732-257-6100,Intakes,800-655-9491,732-324-8200,http://www.ccdom.org,40.4187558,-74.4057986,SA
Richard Hall CMHC,Somerset County,500 North Bridge Street,Bridgewater,NJ,8807,,Somerset,908-725-2800,,,908-253-3165,http://www.co.summerset.nj.us/hservices/rhmahc/cyclesocialrebhab,40.5890917,-74.6086113,SA
Richard Hall CMHC,Outpatient and Intensive Outpatient,500 North Bridge Street,Bridgewater,NJ,8807,,Somerset,908-725-2800,,908-253-3165,,http://www.co.somerset.nj.us,40.58744633,-74.60856736,SA
Astor Gillis LADC,,59 Franklin Street,Ellsworth,ME,4605,,Hancock,207-667-2730,,,,http://,44.540734,-68.423358,SA
Searsport Counseling Affiliate,Maryann Ogonowski MS RN LADC,59-C Franklin Street,Ellsworth,ME,4605,,Hancock,207-664-7050,,,,http://,44.540734,-68.423349,SA
Searsport Counseling Associates,Irene Laney LADC LMSWCC,198 Main Street,Ellsworth,ME,4605,,Hancock,207-667-3100,,,,http://www.searsportcounseling.com,44.542509,-68.421992,SA
Laurie LaViolette LCSW CCS,,24 Birch Avenue,Ellsworth,ME,4605,,Hancock,207-667-9101,,,,http://www.pyramidcounseling.com,44.5458707,-68.4246194,SA
Life Options Counseling Services LLC,,13 Clyde Road,Somerset,NJ,8873,,Somerset,908-290-3550,,,,http://locsnj.com/,40.4870451,-74.5091348,SA
Atlantic Counseling,,20 Oak Street,Ellsworth,ME,4605,,Hancock,207-664-1500,,,,http://,44.543707,-68.421012,SA
Groups Recover Together,,248 State Street,Ellsworth,ME,4605,,Hancock,800-683-8313,,,,http://www.joingroups.com,44.5515821,-68.4293868,SA
Princeton House Behavioral Health,North Brunswick,1460 Livingston Avenue,North Brunswick,NJ,8902,,Middlesex,732-729-3600,Intakes,888-437-1610,609-497-3355,http://www.princetonhcs.org,40.4589053,-74.48005,SA
Sarah White Counseling,,1 Dewey Street,Hulls Cove,ME,4644,,Hancock,207-266-6607,,,,http://,44.413964,-68.2532796,SA
Open Door Recovery Center,Hills House,8 Old Mill Road,Ellsworth,ME,4605,,Hancock,207-667-3210,,,,http://www.opendoorrecoverycenter.org,44.563377,-68.440349,SA
Hope House Health and Living Center,,179 Corporate Drive,Bangor,ME,4401,,Penobscot,207-217-6713 x1480,,,,http://,44.8027875,-68.8063896,SA
Samaritan Homeless Interim Program,,87 East High Street,Somerville,NJ,8876,,Somerset,908-393-9545,,,,http://www.ship908.com,40.569103,-74.607003,SA
Guided Life Structures,,75 Veterans Memorial Drive East,Somerville,NJ,8876,,Somerset,908-704-0011,,,,http://www.guidedlifestructures.org,40.565892,-74.609004,SA
Dirigo Counseling Clinic,Alan Algee,557 Hammond Street,Bangor,ME,4401,,Penobscot,207-973-0505,,,877-656-5132,http://www.dirigocounseling.com,44.8001362,-68.7905826,SA
Somerset Treatment Services,,118 West End Avenue,Somerville,NJ,8876,,Somerset,908-722-1232 x3011,,908-722-1232,,http://www.somersettreatmentservices.org,40.572817,-74.622533,SA
Catholic Charities/Somerset,Comprehensive Family Trt of Add,540 Route 22 East,Bridgewater,NJ,8807,,Somerset,908-722-1881,,,,http://www.ccdom.org,40.5891128,-74.6431842,SA
Health Affiliates Maine,Priscilla Goss LCSW LADC CCS,275 Union Street,Bangor,ME,4401,,Penobscot,207-991-0838,,,,http://www.healthaffiliatesmaine.com,44.8019552,-68.7791283,SA
Counseling Center at Freehold,,4345 U.S. Highway 9 North,Freehold,NJ,7728,,Monmouth,732-431-5300,,,,http://www.thecounselingcenter.com,40.2834936,-74.2931021,SA
Wellspring Inc,Outpatient Services,253-255 Hammond Street,Bangor,ME,4401,,Penobscot,207-941-1612 x204,Intakes,207-941-1612 x201,207-941-1612 x208,http://www.wellspringmaine.com/,44.8014128,-68.7768259,SA
Brewer Medical Center,,735 Wilson Street,Brewer,ME,4412,,Penobscot,207-989-1567,,,,http://www.pchc.com/,44.7741574,-68.7302396,SA
Frank Murano LCSW LCADC,,2517 Highway 35,Manasquan,NJ,8736,,Monmouth,732-292-4695,,,,http://,40.1226359,-74.0703761,SA
Higher Ground Services,,235 Center Street,Brewer,ME,4412,,Penobscot,207-561-9496,,,,http://www.hgscounseling.com,44.793229,-68.759952,SA
Independence Project LLC,,96 Harlow Street,Bangor,ME,4401,,Penobscot,207-945-9777,,,,http://,44.8035375,-68.7712509,SA
Full Circle Wellness Center Inc,,157 Park Street,Bangor,ME,4402,,Penobscot,207-942-5055,,,,http://www.fullcirclewellnesscenter.net,44.8050765,-68.7702202,SA
Wellspring Inc,Mens Residential Program,98 Cumberland Street,Bangor,ME,4401,,Penobscot,207-941-1600,,207-941-1600 x201,,http://www.wellspringmaine.com/,44.8073099,-68.7698578,SA
New Hope IBHC,Freehold Outpatient,2-2 Monmouth Avenue,Freehold,NJ,7728,,Monmouth,732-308-0113 x6010,,732-308-0113,,http://newhopeibhc.org/,40.2606175,-74.278917,SA
Sunrise Opportunities,,304 Hancock Street,Bangor,ME,4401,,Penobscot,207-989-5701,,207-255-4701,,http://www.sunriseopportunities.org,44.8032775,-68.7599321,SA
High Focus Centers,,6 Paragon Way,Freehold,NJ,7728,,Monmouth,732-303-9900,,877-960-0197,,http://highfocuscenters.pyramidhealthcarepa.com/,40.2385849,-74.2543385,SA
Wellspring Inc,Womens Residential Program,319 State Street,Bangor,ME,4401,,Penobscot,207-941-1639,,207-941-1639 x201,,http://www.wellspringmaine.com/,44.806888,-68.75676,SA
Chenango Cnty Behav Health Servs,Substance Use Treatment,5 Court Street,Norwich,NY,13815,,Chenango,607-337-1600,,607-337-1680,,http://www.co.chenango.ny.us/mental-hygiene-services/behavioral-health-services/,42.5319447,-75.5262084,SA
Acadia Hospital,,268 Stillwater Avenue,Bangor,ME,4401,,Penobscot,207-973-6100,,207-973-6443,,http://www.acadiahospital.org,44.820606,-68.763535,SA
High Focus Centers,,3322 Route 22 West,Somerville,NJ,8876,,Somerset,732-474-7447,,,,http://,40.607846,-74.701349,SA
Penobscot County Metro Trt Center,,655 Hogan Road,Bangor,ME,4401,,Penobscot,207-973-0400,Intakes,207-973-0400 x12542,207-973-0400 x12509,http://,44.8367531,-68.7413048,SA
Rome Memorial Hospital/Community,Recovery Ctr Alc/Drug Outpt Clinic,264 West Dominick Street,Rome,NY,13440,,Oneida,315-334-4701,,,,http://www.romehospital.org,43.2126881,-75.461232,SA
Beacon Center,OTP,303 West Liberty Street,Rome,NY,13440,,Oneida,315-367-1290,,,,http://www.beaconcenter.net,43.2142307,-75.4617511,SA
Ocean Monmouth Care LLC,,495 Jack Martin Boulevard,Brick,NJ,8724,,Ocean,732-458-2180,,,,http://www.oceanmonmouth.biz/index.shtml,40.081175,-74.135538,SA
PA Treatment and Healing,,149 Saw Mill Court,East Stroudsburg,PA,18301,,Monroe,570-517-7153,,,,http://www.pathtochange.org,41.0359954,-75.1333302,SA
Pathway to Wellness LLC,DBA Center for Wellness,312 Applegarth Road,Monroe Township,NJ,8831,,Middlesex,732-655-4239,,,,http://www.centerforwellnessnj.com/,40.3166182,-74.4738044,SA
Anderson House,,532 County Road 523,Whitehouse Station,NJ,8889,,Hunterdon,908-534-5818,,908-534-5818 x215,,http://www.andersonhouse.org,40.599733,-74.78171,SA
Carrier Clinic,Blake Recovery Center,252 County Route 601,Belle Mead,NJ,8502,,Somerset,908-281-1000,,,,http://carrierclinic.org/blake-recovery-center/,40.4672537,-74.6824304,SA
Preferred Behavioral Health of NJ,,700 Airport Road,Lakewood,NJ,8701,,Ocean,732-367-4700 x7118,,732-367-4700 x7186,,http://www.preferredbehavioral.org,40.0594451,-74.1731044,SA
Freedom House,,3 Pavilion Road,Glen Gardner,NJ,8826,,Hunterdon,908-537-6043,,,,http://www.freedomhousenj.org,40.692936,-74.917204,SA
Seashore Family Servs of New Jersey,,35 Beaverson Boulevard,Brick,NJ,8723,7859,Ocean,732-920-2700 x407,Intakes,732-477-3507,732-920-2700,http://www.sfsnj.org,40.0319869,-74.1459339,SA
HBH Counseling LLC,,74 Brick Boulevard  ,Brick,NJ,8723,7984,Ocean,732-477-0862,,732-477-0862 x101,,http://www.hbhcounseling.com,40.0240579,-74.145425,SA
Trehab D and A,,1224 Main Street,Susquehanna,PA,18847,,Susquehanna,570-232-4520,Intakes,570-278-3338,800-982-4045,http://www.trehab.org,41.9477443,-75.6018272,SA
Daytop Village of NJ at,Crawford House,362 Sunset Road,Skillman,NJ,8558,,Somerset,908-874-5153,,,,http://www.crawfordhouse.org,40.431193,-74.690166,SA
Carol Fischbach LCSW,,6 Serpentine Drive,Clinton,NJ,8809,,Hunterdon,908-638-6625,,,,http://www.carolfischbach.com/,40.66915588,-74.92593893,SA
Just Believe Recovery Center,,100 Lincoln Avenue,Carbondale,PA,18407,,Lackawanna,570-284-5100,,,,http://www.justbelieverecoverypa.com/,41.572348,-75.496756,SA
Princeton House Behavioral Health,,905 Herrontown Road,Princeton,NJ,8540,,Mercer,609-497-3300,Intakes,800-242-2550,609-497-3355,http://www.princetonhouse.org,40.388242,-74.653371,SA
Catholic Social Services,Drug and Alcohol Program,724 Philips Street,Stroudsburg,PA,18360,,Monroe,570-517-0892,,,,http://www.cssdioceseofscranton.org,40.9914395,-75.1990355,SA
Building and Embracing Sobriety,Together/BEST INC,804 Sarah Street,Stroudsburg,PA,18360,,Monroe,570-422-6522,,,,http://www.bestinc1.com,40.9869366,-75.1975343,SA
A Better Today Inc,,18 South 9th Street,Stroudsburg,PA,18360,,Monroe,570-424-8280,,,570-344-1444,http://www.abettertoday.org,40.984113,-75.197754,SA
Family Guidance Ctr of Warren Cnty,,492 Route 57 West,Washington,NJ,7882,,Warren,908-689-1000,,,,http://www.fgcwc.org,40.748894,-75.023381,SA
Pocono Mountain Recovery Center,,3437 Route 715,Henryville,PA,18332,,Monroe,570-580-4833,,,866-201-8677,http://www.poconomountainrecoverycenter.com,41.0808233,-75.2681178,SA
Healy Counseling Associates,,1310 Hooper Avenue,Toms River,NJ,8753,,Ocean,732-797-0400,,,,http://,39.9872218,-74.1785307,SA
Good News Home for Women,,33 Bartles Corner Road,Flemington,NJ,8822,,Hunterdon,908-806-4220,Intakes,908-806-4220 x223,908-806-4220 x221,http://www.goodnewshome.org,40.536382,-74.853992,SA
Daytop Village of New Jersey Inc,Hunterdon Outpatient,6 Gauntt Place,Flemington,NJ,8822,,Hunterdon,908-806-5195,,,,http://www.daytopnj.org,40.5345001,-74.8594708,SA
Corner House,,1 Monument Drive,Princeton,NJ,8540,,Mercer,609-924-8018 x1261,,609-924-8018,,http://www.cornerhousenj.org,40.348468,-74.665754,SA
Hunterdon Med Ctr/Add Trt Servs,Hunterdon Behavioral Health,2100 Wescott Drive,Flemington,NJ,8822,,Hunterdon,908-788-6401,,908-788-6401 x4,,http://www.hunterdonhealthcare.org,40.5314853,-74.86113,SA
Maxwell House,Next Step Apartments,114 Stone Street,Oneida,NY,13421,,Madison,315-280-0551,,315-363-8345,,http://www.liberty-resources.org,43.0915242,-75.6507553,SA
Maxwell House,Community Residence,239 Broad Street,Oneida,NY,13421,,Madison,315-363-8345,,,315-280-0551,http://www.liberty-resources.org,43.0914345,-75.6511317,SA
Hunterdon Prevention Resources,,4 Walter Foran Boulevard,Flemington,NJ,8822,1128,Hunterdon,908-782-3909,,,,http://www.njprevent.com,40.5224825,-74.8566305,SA
Ocean Medical Services Inc,,2001 Route 37 East,Toms River,NJ,8753,,Ocean,732-288-9322,,,,http://www.oceanmed.net,39.950615,-74.142278,SA
Penobscot Nation Counseling Services,Penobscot Nation Health Department,23 Wabanaki Way,Old Town,ME,4468,,Penobscot,207-817-7400,,,207-817-7411,http://,44.950014,-68.64738,SA
MTI Counseling Service LLC,,1201 Route 37 East,Toms River,NJ,8753,,Ocean,732-270-8333,,723-270-8999,,http://,39.953545,-74.160348,SA
Hunterdon Drug Awareness Program,,8 Main Street,Flemington,NJ,8822,,Hunterdon,908-788-1900,,,,http://www.hdap.org,40.51219472,-74.85910553,SA
Saint Josephs ATRC,Malone Outpatient Clinic,458 East Main Street,Malone,NY,12953,,Franklin,518-483-6566,,,,http://www.stjoestreatment.org,44.8486983,-74.290593,SA
Counseling Center at Toms River,,1198 Lakewood Road,Toms River,NJ,8753,,Ocean,732-736-6559,,,,http://tomsrivercounselingcenter.com/,39.9821126,-74.2098996,SA
Preferred Behavioral Health of NJ,,1191 Lakewood Road,Toms River,NJ,8755,,Ocean,732-323-3664,,732-323-3664 x6128,,http://www.preferredbehavioral.org,39.9815894,-74.2097043,SA
Sunrise Detox Center/Toms River,,16 Whitesville Road,Toms River,NJ,8753,,Ocean,732-797-2505,,888-443-3869,,http://sunrisedetoxtomsriver.com/,39.982551,-74.2116502,SA
High Point Partial Care,,162 Broad Street,Flemington,NJ,8822,,Hunterdon,908-788-5979,Intakes,908-788-5979 x325,908-788-5979 x304,http://highpointpartialcare.webs.com,40.5027239,-74.8557632,SA
High Point Program LLC,,162 Broad Street,Flemington,NJ,8822,,Hunterdon,908-788-5979,Intakes,908-788-5979 x325,908-788-5979 x304,http://highpointpartialcare.webs.com,40.5027239,-74.8557632,SA
PA Associates LLC,DBA Mount Pocono,"1151 Pocono Boulevard, Route 611",Mount Pocono,PA,18344,,Monroe,570-839-7246,,,,http://www.pinnacletreatment.com,41.1302122,-75.3622253,SA
Pyramid Healthcare Inc,Monroe Outpatient,3180 Route 611,Bartonsville,PA,18321,,Monroe,570-420-7939,,,,http://,41.0185686,-75.2965526,SA
Seashore Family Services of NJ,,226 Main Street,Toms River,NJ,8753,,Ocean,732-244-1600,,,,http://www.sfsnj.org,39.9542067,-74.1986085,SA
Ocean Mental Health Services Inc,Project Recovery,160 Atlantic City Boulevard,Bayville,NJ,8721,,Ocean,732-349-5550,,732-575-1111,,http://www.oceanmhs.org,39.9264826,-74.1729249,SA
Recovery Revolution Inc,,109 Broadway,Bangor,PA,18013,,Northampton,610-599-7700,,,,http://www.recoveryrevolution.org,40.8658826,-75.2065693,SA
Summit Behavioral Health LLC,,4065 Quakerbridge Road,Princeton Junction,NJ,8550,,Mercer,609-651-4001 x100,Intakes,855-855-9199,609-651-4001,http://summitbehavioralhealth.com,40.27759,-74.6692679,SA
LIFEBACK Add and Behav Health,,4 Princess Road,Lawrence Township,NJ,8648,,Mercer,609-482-3701,,,,http://,40.285095,-74.7094347,SA
Footprints to Recovery,,3535 Quakerbridge Road,Trenton,NJ,8619,,Mercer,609-249-4645,Intakes,855-628-2899,609-249-4641,http://www.footprintstorecovery.com/,40.2554563,-74.6789236,SA
Agape Counseling Services,,815 Route 9,Lanoka Harbor,NJ,8734,,Ocean,609-242-0086,,,,http://,39.866103,-74.169972,SA
Personal Consulting Services,,100 Horizon Center Boulevard,Trenton,NJ,8691,,Mercer,609-259-3839,,,,http://www.pcscounseling.com,40.1989176,-74.639913,SA
Dunmore Comprehensive Trt Center,,118 Monahan Avenue,Scranton,PA,18512,,Lackawanna,888-615-7943,,570-344-5327,,http://www.acadiahealthcare.com,41.4310243,-75.6157833,SA
Family Guidance Center Corp,Substance Abuse Recovery Program,2210 Hamilton Avenue,Trenton,NJ,8619,,Mercer,609-587-6641,,,,http://www.fgccorp.org,40.229353,-74.707105,SA
Pinnacle Treatment Ctrs NJ II LLC,DBA State Line Medical,590 Marshall Street,Phillipsburg,NJ,8865,,Warren,908-387-0003,,,,http://www.statelinemed.com,40.6964108,-75.1763334,SA
